"SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","AirBreathingRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","VulnerabilityClimate","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
1119,"Abudefduf",7247,"(Linnaeus, 1758)","Sergeant-major","Absax_uc.jpg",NA,NA,"Absax_j0.jpg",350,"Glyphisodontinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,0,20,58047,NA,10,86997,NA,NA,8,52465,12.9,NA,22.8999996185303,"TL",NA,NA,26340,15,"SL",NA,NA,3139,200,NA,5288,"ABSAX_U1",NA,NA,NA,6077,"minor commercial","unknown",NA,NA," ",NA," "," ",1,0,1,1,0,0,0,0,1,0,"never/rarely"," ",NA,"never/rarely",NA,"commercial","based mainly on capture",7309,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Juveniles are common in tide pools while adults are found over shallow reef tops.  Adults frequently form large feeding aggregations of up to several hundred individuals.  Food items include algae, small crustaceans and fish, and various invertebrate larvae (Ref. 3139).  At Fernando de Noronha Archipelago, this species feeds on spinner dolphins’ feces and vomits. The offal feeding may be regarded as a simple behavioral shift from plankton feeding to drifting offal picking.  Also, juveniles may hold cleaning stations together with the doctorfish (<i>Acanthurus chirurgus</i>) and the blue tang (<i>Acanthurus coeruleus</i>) and graze algae as well as pick molted skin and parasites from green turtles (<i>Chelonia mydas </i>).  This behavior is preceded by a characteristic inspection usually followed by feeding nips on the turtles’ skin (head, limbs, and tail), as well as on the carapace. The most inspected and cleaned body parts are the flippers (Ref. 48727, 51385).  Adult males adopt a bluish ground color when guarding eggs.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Attracted to divers who feed fish.  Marketed fresh (Ref. 3139).  Has been reared in captivity (Ref. 35420).",NA,0.5,0,1,1990-10-17,65,2015-03-20,65,1994-08-19,NA
5687,"Abudefduf",7247,"(Cuvier, 1830)","Banded sergeant","Absep_u0.jpg",NA,NA,NA,350,"Glyphisodontinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,0,20,4391,NA,NA,NA,NA,NA,NA,NA,13,NA,23,"TL",NA,NA,4391,NA,NA,NA,NA,NA,NA,NA,NA,"ABSEP_U2",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit lagoon and outer reefs in shallow areas exposed to mild or moderate surge.  Feed on benthic algae and small invertebrates (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Highly territorial (Ref. 9710).  Maximum depth reported taken from Ref. 128797.",NA,0.5,0,14,1992-06-11,2762,2023-06-14,113,1997-02-07,NA
5688,"Abudefduf",7247,"(Lacepède, 1801)","Scissortail sergeant","Absex_u0.jpg",NA,NA,"Absex_j0.jpg",350,"Glyphisodontinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,20,58652,NA,NA,NA,NA,NA,NA,NA,10,NA,19,"TL",NA,NA,90102,NA,NA,NA,NA,NA,NA,NA,NA,"ABSEX_U6",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums","based mainly on capture",13603,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit inshore and offshore coral or rocky reefs.  Also in shallow coastal reef flats or crests, usually where lots of tall soft corals or hydroid colonies are present (Ref. 48636).  Often found in groups feeding at midwater or tending nests among rocks and coral ledges (Ref. 90102).  Feed on zooplankton and algae and aggregates high in the water column (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,14,1992-06-11,2310,2013-04-25,65,1994-08-19,NA
5689,"Abudefduf",7247,"(Forsskål, 1775)","Blackspot sergeant","Absor_u6.jpg",NA,NA,NA,350,"Glyphisodontinae",7803,NA,"short and / or deep","R",NA,NA,0,0,1,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,0,3,4391,NA,NA,NA,NA,NA,9,52465,14,NA,24,"TL",NA,NA,90102,NA,NA,NA,NA,NA,NA,NA,NA,"ABSOR_U4",NA,NA,NA,NA,"minor commercial","unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,1,1,"never/rarely"," ",NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Inhabit rocky lagoons, reef flat shorelines and piers subject to mild surge; juveniles are common in tide pools (Ref. 9710).  Benthopelagic (Ref. 58302).  Occasionally form schools.  Feed on algae, crustaceans and other invertebrates during the day.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Highly territorial (Ref. 9710).  Utilized as a food fish by the Hawaiians (Ref. 7364).",NA,0.5,0,14,1992-06-11,2310,2013-04-25,34,1994-08-08,NA
10354,"Acanthocepola",6192,"(Valenciennes, 1835)","Bandfish","Acabb_u0.jpg",NA,NA,NA,358,"Cepolinae",10275,NA,"elongated","O",NA,NA,0,0,0,1,"benthopelagic","WaterAssumed",NA,NA,NA,10,80,127963,NA,NA,NA,NA,NA,NA,NA,20,NA,30,"TL",NA,NA,11441,NA,NA,NA,NA,NA,NA,NA,NA,"ACABB_U0",NA,NA,NA,NA,"bycatch","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Occurs in muddy habitats, usually in large colonies, each individual with its own burrow.  Rises high above the substrate in schools to feed when plankton drifts over, typically in vertical posture (Ref. 48635).",NA,0.5625,0,2,1994-05-31,2648,2024-08-16,144,1995-10-06,NA
9215,"Acanthocepola",90102,"(Temminck & Schlegel, 1845)","Red-spotted bandfish","Ackru_u1.jpg",NA,NA,NA,358,"Cepolinae",10275,NA,"elongated","O",NA,NA,0,0,1,1,"demersal","WaterAssumed",NA,NA,NA,3,50,90102,NA,NA,NA,NA,NA,NA,NA,30,NA,40,"TL",NA,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,"ACKRU_U0",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Inhabits the shallowest water, compared to other cepolids.  Lives on muddy substrates, deep as well as in shallow protected estuaries (Ref. 48635).  Caught by dredge, but not valued as food fish (Ref. 559, 637).",NA,0.5625,0,1,1994-03-19,2,2015-03-27,144,1995-10-06,NA
9214,"Acanthocepola",559,"(Valenciennes, 1835)","Blackspot bandfish","Aclim_u2.jpg",NA,NA,NA,358,"Cepolinae",10275,NA,"elongated","O",NA,NA,0,0,0,1,"demersal","WaterAssumed",NA,NA,NA,80,100,43239,NA,NA,NA,NA,NA,NA,NA,40,NA,50,"TL",NA,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,"ACLIM_U0",NA,NA,NA,559,"commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults pair and feed in loose groups; juveniles gather in small groups on deep sand slopes, usually in current-prone areas (Ref. 48635).  Occurs in mud bottoms 15-100 m deep (Ref. 90102).  Commonest member of the Japanese cepolid fishes.  Caught by trawl net from sandy or muddy bottoms. Used mainly for fish cake.  (Ref. 559 and 637).  Minimum depth of 15 m reported from Ref. 90102.",NA,0.5625,0,1,1994-03-19,1730,2024-04-16,144,1995-10-06,NA
6655,"Acanthochromis",7247,"(Bleeker, 1855)","Spiny chromis","Acpol_u0.jpg",NA,NA,"Acpol_j2.jpg",350,"Pomacentrinae",3182,NA,"short and / or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,65,9710,4,20,90102,NA,NA,NA,NA,13.33,NA,16,"TL",NA,NA,129178,NA,NA,NA,NA,NA,NA,NA,NA,"ACPOL_U6",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit inshore and offshore coral reefs (Ref. 9710).  Also found in harbors, lagoons and outer reef slopes.  The only pomacentrid species that lacks a pelagic larval stage.  One of the very few marine fishes where fry are guarded by the parents (Ref. 9710, 48636).  School as they grow and sub-adults are usually seen in small groups.  Adults form pairs and are territorial when breeding (Ref. 48636).  Monogamous (Ref. 52884).  Oviparous (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,1,0,14,1992-12-02,65,2023-09-28,1,1998-12-21,NA
89,"Acanthocybium",168,"(Cuvier, 1832)","Wahoo","Acsol_ua.jpg",NA,NA,NA,416,"Scombrinae",369,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,20,89972,0,12,5227,NA,NA,NA,NA,46.13,76.06,250,"TL",NA,NA,30573,170,"FL",NA,NA,9340,83000,NA,168,"ACSOL_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species",NA,"from 1,000 to 10,000","Neth. Antilles and Cape Verde","seines"," ",0,1,0,0,0,0,0,0,1,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"reports of ciguatera poisoning",30298,"no special ability",NA,NA,1,"An oceanic, epipelagic species frequently solitary or forming small loose aggregations rather than compact schools.  Feed on fishes and squids. Eggs and larvae are pelagic (Ref. 6769).   An important sport fish in some areas (Ref. 9340).  Marketed fresh, salted or spice-cured slices of meat; also frozen (Ref. 9987).  Flesh of very good quality (Ref. 9684). Minimum depth from Ref. 005227.",NA,1,0,2,1990-10-17,2,2024-01-15,133,1995-10-05,NA
3832,"Acanthogobius",93271,"(Temminck & Schlegel, 1845)","Yellowfin goby","Acfla_u0.jpg",NA,NA,NA,405,"Gobionellinae",9199,NA,"elongated","R",NA,"<i>Acanthogobius stigmothonus</i> (Richardson, 1845) is considered as valid (from the South China Sea and Gulf of Tonkin) in Shibukawa & Iwata, 2013 (Ref. 93271).",4,1,1,1,"demersal","WaterAssumed",NA,"amphidromous",51243,1,6,96339,NA,NA,NA,NA,NA,NA,NA,33.04,NA,30,"TL",NA,NA,2850,14.5,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,559,"commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,"public aquariums","based mainly on breeding",9210,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Inhabits muddy and sandy bottoms along the shore of bays and estuaries, sometimes ascends rivers. Intertidal to at least 6.5 m (Ref. 96339). Oviparous, spawn in winter to early spring (Ref. 205).  Eggs are deposited in Y-shaped nests (Ref. 205).  Used in Chinese medicine (Ref. 12166).",NA,0.503899991512299,0,1,1991-05-01,2291,2019-07-02,1,2006-01-16,NA
69021,"Acanthogobius",93271,"(Richardson, 1845)",NA,NA,NA,NA,NA,405,"Gobionellinae",9199,NA,"elongated","O",NA,NA,NA,0,0,1,"demersal","WaterAssumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,NA,NA,0.503899991512299,0,14,2019-07-02,NA,2019-07-02,303,2003-07-23,NA
8943,"Acanthonus",3686,"Günther, 1878","Bony-eared assfish","Acarm_u0.gif",NA,NA,NA,186,"Neobythitinae",5395,NA,"eel-like","R",NA,NA,0,0,0,1,"bathypelagic","WaterAssumed",NA,NA,NA,1171,4415,75877,NA,NA,NA,NA,NA,NA,NA,35.75,NA,37.5,"SL",NA,NA,34024,NA,NA,NA,NA,NA,NA,NA,NA,"ACARM_U0",NA,NA,NA,34024,"of no interest",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Benthopelagic at bathyal and abyssal depths (Ref. 56809).  Common species (Ref. 34024).  Oviparous, with oval pelagic eggs floating in a gelatinous mass (Ref. 205).  Noted as having the smallest relative brain size among teleosts, and remarkably large semicircular canals (Ref. 7463).",NA,1,0,10,1994-03-05,14,2009-10-23,113,2000-09-29,NA
5526,"Acanthopagrus",83673,"(Fabricius, 1775)","Goldsilk seabream","Acber_u9.jpg",NA,NA,NA,330,NA,6927,NA,"short and / or deep","R",NA,NA,0,1,1,1,"demersal","WaterAssumed",NA,"oceanodromous",51243,NA,50,86942,NA,NA,NA,14,3627,NA,NA,56,68.33,90,"TL",NA,NA,3198,35,"TL",NA,NA,5450,3200,NA,3670,"ACBER_U1",NA,NA,NA,4537,"commercial","very high","Very questionable: based on ex-vessel price for species in this family","Food fish.",NA,NA,"various gears",NA,1,1,0,0,0,1,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,3198,"harmless",NA,"no special ability",NA,NA,1,"Common in estuaries, relatively uncommon in freshwaters (Ref. 52193). It feeds on invertebrates, including worms, mollusks, crustaceans and echinoderms (Ref. 5213), and small fish (Ref. 3670, 52193). Breeds in winter at sea (Ref. 52193). Protandrous hermaphrodite (Ref. 55367). The flesh is excellent; sold fresh in markets. It is parasitised by the monogenean <i>Anoplodiscus australis</i> on the fins and body surface (Ref. 124057).",NA,0.5,0,3,1992-06-02,675,2023-12-05,2,1994-08-01,NA
