autoctr,SpecCode,StockCode,EcologyRefNo,HabitatsRef,Neritic,SupraLittoralZone,Saltmarshes,LittoralZone,TidePools,Intertidal,SubLittoral,Caves,Oceanic,Epipelagic,Mesopelagic,Bathypelagic,Abyssopelagic,Hadopelagic,Estuaries,Mangroves,MarshesSwamps,CaveAnchialine,Stream,Lakes,Cave,Cave2,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,AddRems,AssociationRef,Parasitism,Solitary,Symbiosis,Symphorism,Commensalism,Mutualism,Epiphytic,Schooling,SchoolingFrequency,SchoolingLifestage,Shoaling,ShoalingFrequency,ShoalingLifestage,SchoolShoalRef,AssociationsWith,AssociationsRemarks,OutsideHost,OHRemarks,InsideHost,IHRemarks,SubstrateRef,Benthic,Sessile,Mobile,Demersal,Endofauna,Pelagic,Megabenthos,Macrobenthos,Meiobenthos,SoftBottom,Sand,Coarse,Fine,Level,Sloping,Silt,Mud,Ooze,Detritus,Organic,HardBottom,Rocky,Rubble,Gravel,SpecialHabitatRef,Macrophyte,BedsBivalve,BedsRock,SeaGrassBeds,BedsOthers,CoralReefs,ReefExclusive,DropOffs,ReefFlats,Lagoons,Burrows,Tunnels,Guyots,Crevices,Seamounts,ColdSeeps,HydrothermalVents,DeepWaterCorals,Vegetation,Leaves,Stems,Roots,Driftwood,OInverterbrates,OIRemarks,Verterbrates,VRemarks,Pilings,RicePaddies,BoatHulls,Corals,SoftCorals,OnPolyp,BetweenPolyps,HardCorals,OnExoskeleton,InterstitialSpaces,Circadian1,Circadian2,Circadian3,BioAspect1,BioAspect2,BioAspect3,RemarksCircadian,CircadianRef,CircadianAlsoRef,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS,MoTaDieuKienVi
45,83,98,55,55,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),55,hunting macrofauna (predator),55,NA,NA,NA,NA,NA,NA,4.11,0.57,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabits reefs and rocky bottom areas to depths of at least 100 m.  Feeds on fishes, squids and crustaceans (Ref. 4887).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,53568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,NA,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,1472,2008-03-05,NA,NA,NA,
46,84,99,55,55,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),55,hunting macrofauna (predator),55,4.28,0.418,3.84,0.579999983310699,Troph of juv./adults from 2 studies.,55797,3.98,0.6,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabits open waters of deep lagoons, channels, or seaward reefs (Ref. 9710).  Usually seen singly, but also in groups (Ref. 30573, 48635).  Daytime feeder (Ref. 122680).  Feeds mainly on fishes, but also on shrimps, crabs, cephalopods and planktonic organisms (Ref. 30573, 48635).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,53568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2495,2020-11-06,NA,NA,NA,
49,87,102,55,58472,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),55,hunting macrofauna (predator),55,4.49,0.77,4.47,0.78,Troph of juv./adults from 1 study.,8925,3.99,0.62,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabits rocky bottoms (Ref. 30573) of the continental shelf and continental slope (Ref. 75154).  Juveniles prefer habitats with carbonate, basalt, or mudstone substrate (Ref. 122680).  Feeds on fishes and larger invertebrates such as squids, shrimps and crabs; also takes planktonic organisms, including pelagic urochordates (Ref. 55).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2495,2020-11-06,711,2001-05-09,NA,
51,89,104,168,168,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),168,hunting macrofauna (predator),168,4.26,0.198,NA,NA,Troph of juv./adults from 6 studies.,48488,4.45,0.96,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Feeds on squids, sardines, anchovies, flyingfishes and small tunas (Ref. 9773).  Frequently solitary or forming small loose aggregations rather than compact schools.  An oceanic, epipelagic (Also Ref. 9773) species frequently solitary or forming small loose aggregations rather than compact schools.  Feed on fishes and squids.",NA,0,-1,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,53568,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2762,2024-02-02,133,1995-10-05,NA,
54,93,107,168,168,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),235,hunting macrofauna (predator),168,NA,NA,4.13,0.61,NA,12239,4.4,0.61,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"A schooling species, usually confined to oceanic salinities and with an optimum temperature between 27 and 27°C. Its larvae has the widest temperature tolerance among the tuna species studied, at least between 21.6 and 30.5°C.       ",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,1472,2008-01-24,NA,NA,NA,
55,94,108,168,168,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),235,hunting macrofauna (predator),168,4.37,0.38,4.19,0.6,Troph of juv./adults from 2 studies.,30531,4.32,0.72,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Larvae found closer to the coast.  Shoaling species.  Feeds on small fishes, clupeids, squids and small crustaceans (Ref. 9773).  Epipelagic (Also Ref. 9773) in neritic and oceanic waters (Ref. 9340).  Feeds on small fish, squids, planktonic crustaceans (megalops), and stomatopod larvae (Ref. 5213).  Because of their abundance, they are considered an important element of the food web, particularly as forage for other species of commercial interest.  Preyed upon by larger fishes, including other tunas (Ref. 9987).  Confined to oceanic salinities with strong schooling behavior. Though larvae have a high temperature tolerance (at least between 21.6 and 30.5°C), the widest among tuna species studied, their optimum temperature is between 27 and 27.9°C.",NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,9773,NA,NA,0,NA,0,NA,9773,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2762,2024-02-02,NA,NA,NA,
56,96,110,168,168,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),168,hunting macrofauna (predator),168,4.5,NA,NA,NA,Troph of adults from 1 study.,53677,4.35,0.77,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Like other scombrids, <i>E. affinis</i> tend to form multispecies schools by size especially with small <i>T. albacares</i>, <i>K. pelamis, Auxis</i> sp. and <i>M. cordyla</i> comprising from 100 to over 5,000 individuals (Also Ref. 9773). But during certain periods of the year, there is a tendency for the fish to remain scattered (Ref. 168).  Kawakawa is piscivorous.  Most important prey items of the immature smaller  <i>E. affinis</i> were the larval anchovy and lanternfish while the matured fish <i>Decapterus</i> spp and <i>Scomber australicus</i> (Ref. 53677).  A strong swimmer and a highly migratory species (Ref. 128523).  Epipelagic.  Feeds on small pelagic fishes, squids and large planktonic organisms (Ref. 9773).",NA,0,0,0,0,0,0,0,-1,NA,NA,0,NA,NA,9773,<i>Thunnus albacares</i>; <i>Katsuwonus pelamis</i>; <i>Auxis thazard</i>.,NA,0,NA,0,NA,9773,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2762,2024-02-02,NA,NA,NA,
211,106,120,168,168,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),168,hunting macrofauna (predator),168,NA,NA,NA,NA,NA,NA,4.5,0.75,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,         ,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,1472,2007-09-05,NA,NA,NA,
212,107,121,168,168,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),168,hunting macrofauna (predator),168,4.43,0.474,NA,NA,Troph of juv./adults from 2 studies.,66322,4,0.65,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Aggregations of this species tend to be associated with convergence, boundaries between cold and warm water masses (i.e., the polar front), upwelling and other hydrographic discontinuities. Normally inhabit waters with surface temperatures of 20°C to 30°C (Ref. 28951). However, adults are sometimes present in waters as cold as 15°C (Ref. 168, 28950). Stay near the surface at night. School near the surface with birds, drifting objects, whales, sharks, and other tuna species and shows characteristic behaviors like jumping, feeding and foaming. Opportunistic feeders preying on any forage available. The feeding activity peaks in the early morning and in the late afternoon.

Skipjack tuna also need a dissolved oxygen level of 2.5 ml per liter of sea water to maintain a minimum swimming speed, and require higher levels when active (Ref. 28952). This requirement generally restricts skipjack tuna to water above the thermocline and in some areas, such as the eastern Pacific, may exclude them from surface waters (Ref. 28952).

The warm East Australian Current distributes skipjack tuna larvae into subtropical waters off eastern Australia (Ref. 28956). The larvae are generally limited to the upper 50 m of water and are most common in the sub-surface layers (Ref. 6390). Juvenile skipjack tuna less than 15 cm TL inhabit the same areas as larvae but generally move to cooler waters as they grow to maturity (Ref. 28956).

There is little information on migration patterns for skipjack tuna in Australian waters. Skipjack tuna tagged in the Coral Sea, off Norfolk Island and off New South Wales have been recovered in waters off the Solomon Islands, New Caledonia, French Polynesia and New Zealand (Ref. 28959). The recapture in Australian waters of a few fish tagged in New Zealand and Papua New Guinea indicates that there could also be significant movement of skipjack tuna into the Australian Fishing Zone from the greater South Pacific (Ref. 6390).  Epipelagic oceanic.  Forms shoals associated with flotsam and whales.  Distribution of adults is dependent on temperature within 15°C isotherm.  Feeds on pelagic fishes, crabs, larvae, anchovies, krill and squids.  Feeding usually occurs at moderate depths in the water column, peaking in the early morning and late afternoon (Ref. 9773).",NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,9773,NA,NA,0,NA,0,NA,9773,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2762,2024-02-02,NA,NA,NA,
214,109,123,168,168,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),168,selective plankton feeding,168,NA,NA,NA,NA,NA,NA,2.72,0.31,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,This species tolerates slightly reduced salinities in estuarine habitats.  Feeds chiefly on microzooplankton with a high phytoplankton component.,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,309,2019-02-04,NA,NA,NA,
216,111,125,168,168,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),30531,hunting macrofauna (predator),NA,NA,NA,NA,NA,NA,NA,3.29,0.38,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Juveniles feed on phytoplankton (e.g., diatoms) and small zooplankton such as cladoceran, ostracods, larval polychaetes, etc. With growth, they gradually change their dietary habits, a process that is reflected in the relative shortening of the intestine (Ref. 30531).  Pelagic migratory fish.  Prefers open but protected coastal waters.  Shoaling species.  Juveniles feed on diatoms, Diplostraca, and Ostracoda, while adults feed on macroplankton, larval shrimp and fish (Ref. 9773).",NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,9773,NA,NA,0,NA,0,NA,9773,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2762,2024-02-02,711,2001-05-10,NA,
